Material	Comments	C11 (GPa)	C22 (GPa)	C33 (GPa)	C23 (GPa)	C13 (GPa)	C12 (GPa)	C44 (GPa)	C55 (GPa)	C66 (GPa)	C14 (GPa)	C25 (GPa)	C36 (GPa)	C34 (GPa)	C15 (GPa)	C26 (GPa)	C24 (GPa)	C35 (GPa)	C16 (GPa)	C56 (GPa)	C46 (GPa)	C45 (GPa)	Density (kg/m^3)	References
Bovine femoral bone 1		0.268	0.486	0.677	0.195	0.152	0.087	0.175	0.198	0.112	-0.015	-0.066	0.011	0.01	-0.011	0.023	0.001	0.044	-0.003	0.001	-0.005	-0.042	2060	colabella2017mimetization, book:bones2014
Bovine femoral bone 2		0.306	1.202	1.885	0.421	0.199	0.152	0.461	0.268	0.256	0.06	-0.01	0.052	-0.04	-0.01	0.052	-0.025	0.067	-0.01	0.064	-0.149	-0.089	2060	colabella2017mimetization, book:bones2014
Bovine femoral bone 3		0.573	0.64	1.26	0.253	0.219	0.234	0.317	0.246	0.224	-0.006	-0.016	-0.003	-0.0017	-0.015	0.006	-0.005	0.023	0.004	0.052	-0.002	-0.017	2060	colabella2017mimetization, book:bones2014
Bovine femoral bone 4		0.163	0.35	0.606	0.126	0.068	0.075	0.148	0.093	0.11	-0.008	-0.005	-0.032	0.029	-0.016	0.018	-0.018	-0.032	0.01	-0.014	0.043	-0.023	2060	colabella2017mimetization, book:bones2014
Bovine femoral bone 5		0.318	0.426	0.464	0.182	0.107	0.075	0.144	0.116	0.114	-0.008	0.002	-0.001	0.024	0.001	-0.017	0.024	-0.003	0.021	0.008	0.002	-0.007	2060	colabella2017mimetization, book:bones2014
