Material	Notes	C11	C33	C44	C12	C13	C14	Density	References
Tellurium	Point group 32	34.5	72.5	36	9.3	24.4	-15	6240	araki1972
Selenium	Point group 32	18.8	74.4	12.5	7.1	27.1	-5	4810	araki1972
